section,name,metric,value
variant,generic+diagnostics,leaf_count,24
variant,generic+diagnostics,retry_leaf_count,24
variant,generic+diagnostics,avg_prompt_tokens,607.3333333333334
variant,generic+diagnostics,avg_retry_prompt_tokens,607.3333333333334
variant,generic+diagnostics,total_prompt_tokens,14576
variant,generic-retry,leaf_count,24
variant,generic-retry,retry_leaf_count,24
variant,generic-retry,avg_prompt_tokens,548.3333333333334
variant,generic-retry,avg_retry_prompt_tokens,548.3333333333334
variant,generic-retry,total_prompt_tokens,13160
variant,typed-fields,leaf_count,24
variant,typed-fields,retry_leaf_count,24
variant,typed-fields,avg_prompt_tokens,569.6666666666666
variant,typed-fields,avg_retry_prompt_tokens,569.6666666666666
variant,typed-fields,total_prompt_tokens,13672
variant,typed-label-only,leaf_count,24
variant,typed-label-only,retry_leaf_count,24
variant,typed-label-only,avg_prompt_tokens,537.6666666666666
variant,typed-label-only,avg_retry_prompt_tokens,537.6666666666666
variant,typed-label-only,total_prompt_tokens,12904
variant,typed-preserve,leaf_count,24
variant,typed-preserve,retry_leaf_count,24
variant,typed-preserve,avg_prompt_tokens,835.6666666666666
variant,typed-preserve,avg_retry_prompt_tokens,835.6666666666666
variant,typed-preserve,total_prompt_tokens,20056
comparison,generic+diagnostics_vs_generic-retry,avg_prompt_token_delta,59.0
comparison,generic+diagnostics_vs_generic-retry,avg_retry_prompt_token_delta,59.0
comparison,generic+diagnostics_vs_generic-retry,total_prompt_token_delta,1416
comparison,typed-label-only_vs_generic+diagnostics,avg_prompt_token_delta,-69.66666666666674
comparison,typed-label-only_vs_generic+diagnostics,avg_retry_prompt_token_delta,-69.66666666666674
comparison,typed-label-only_vs_generic+diagnostics,total_prompt_token_delta,-1672
comparison,typed-fields_vs_typed-label-only,avg_prompt_token_delta,32.0
comparison,typed-fields_vs_typed-label-only,avg_retry_prompt_token_delta,32.0
comparison,typed-fields_vs_typed-label-only,total_prompt_token_delta,768
comparison,typed-preserve_vs_typed-fields,avg_prompt_token_delta,266.0
comparison,typed-preserve_vs_typed-fields,avg_retry_prompt_token_delta,266.0
comparison,typed-preserve_vs_typed-fields,total_prompt_token_delta,6384
comparison,typed-preserve_vs_generic-retry,avg_prompt_token_delta,287.33333333333326
comparison,typed-preserve_vs_generic-retry,avg_retry_prompt_token_delta,287.33333333333326
comparison,typed-preserve_vs_generic-retry,total_prompt_token_delta,6896
