variant,benchmark,seed,temp,successes,n
H4,mini_workflow,1,0.0,0,30
H4,mini_workflow,1,0.7,30,30
H4,mini_workflow,1,1.0,29,30
H4,mini_workflow,2,0.0,27,30
H4,mini_workflow,2,0.7,30,30
H4,mini_workflow,2,1.0,30,30
H4,mini_workflow,3,0.0,30,30
H4,mini_workflow,3,0.7,30,30
H4,mini_workflow,3,1.0,30,30
H3,mini_workflow,1,0.0,6,30
H3,mini_workflow,1,0.7,7,30
H3,mini_workflow,1,1.0,9,30
H3,mini_workflow,2,0.0,6,30
H3,mini_workflow,2,0.7,6,30
H3,mini_workflow,2,1.0,13,30
H3,mini_workflow,3,0.0,5,30
H3,mini_workflow,3,0.7,14,30
H3,mini_workflow,3,1.0,9,30
H0,mini_workflow,1,0.0,0,30
H0,mini_workflow,1,0.7,0,30
H0,mini_workflow,1,1.0,0,30
H0,mini_workflow,2,0.0,0,30
H0,mini_workflow,2,0.7,0,30
H0,mini_workflow,2,1.0,0,30
H0,mini_workflow,3,0.0,0,30
H0,mini_workflow,3,0.7,0,30
H0,mini_workflow,3,1.0,0,30
generic-retry,mini_workflow,1,0.0,0,30
generic-retry,mini_workflow,1,0.7,6,30
generic-retry,mini_workflow,1,1.0,4,30
generic-retry,mini_workflow,2,0.0,0,30
generic-retry,mini_workflow,2,0.7,5,30
generic-retry,mini_workflow,2,1.0,3,30
generic-retry,mini_workflow,3,0.0,0,30
generic-retry,mini_workflow,3,0.7,5,30
generic-retry,mini_workflow,3,1.0,11,30
