section,name,metric,value
variant,H0,leaf_count,120
variant,H0,retry_leaf_count,0
variant,H0,avg_prompt_tokens,350.7583333333333
variant,H0,avg_retry_prompt_tokens,0.0
variant,H0,total_prompt_tokens,42091
variant,H3,leaf_count,345
variant,H3,retry_leaf_count,225
variant,H3,avg_prompt_tokens,323.15072463768115
variant,H3,avg_retry_prompt_tokens,312.4266666666667
variant,H3,total_prompt_tokens,111487
variant,H4,leaf_count,287
variant,H4,retry_leaf_count,83
variant,H4,avg_prompt_tokens,414.5191637630662
variant,H4,avg_retry_prompt_tokens,623.2168674698795
variant,H4,total_prompt_tokens,118967
variant,generic-retry,leaf_count,360
variant,generic-retry,retry_leaf_count,240
variant,generic-retry,avg_prompt_tokens,413.1611111111111
variant,generic-retry,avg_retry_prompt_tokens,448.1125
variant,generic-retry,total_prompt_tokens,148738
comparison,H3_vs_H0,avg_prompt_token_delta,-27.607608695652175
comparison,H3_vs_H0,avg_retry_prompt_token_delta,312.4266666666667
comparison,H3_vs_H0,total_prompt_token_delta,69396
comparison,generic-retry_vs_H3,avg_prompt_token_delta,90.01038647342995
comparison,generic-retry_vs_H3,avg_retry_prompt_token_delta,135.68583333333333
comparison,generic-retry_vs_H3,total_prompt_token_delta,37251
comparison,H4_vs_generic-retry,avg_prompt_token_delta,1.35805265195512
comparison,H4_vs_generic-retry,avg_retry_prompt_token_delta,175.1043674698795
comparison,H4_vs_generic-retry,total_prompt_token_delta,-29771
comparison,H4_vs_H3,avg_prompt_token_delta,91.36843912538507
comparison,H4_vs_H3,avg_retry_prompt_token_delta,310.7902008032128
comparison,H4_vs_H3,total_prompt_token_delta,7480
